subject.id,institution,equipment,acclimation,diet,subject.mass,vo2,vco2,ee,rer,room.temp,total_mass,lean_mass,fat_mass,phase
V13,Vanderbilt,Sable,TRUE,HF,22.57175781,85.32683363,64.01952262,0.407078643,0.75058456,23.3,22.825,15.5153,2.393415,2
V14,Vanderbilt,Sable,FALSE,HF,0,94.89870124,74.56203193,0.456461389,0.786059464,23.3,22.395,15.8363,1.733395,2
V14,Vanderbilt,Sable,TRUE,HF,0,89.89214993,68.96699437,0.430542459,0.767866265,23.3,22.395,15.8363,1.733395,2
V15,Vanderbilt,Sable,FALSE,HF,23.38918466,93.44104505,74.53310664,0.450684774,0.798403081,23.3,23.04,14.71825,2.75002,2
V15,Vanderbilt,Sable,TRUE,HF,23.36059003,88.46813389,66.57883452,0.422289107,0.752923267,23.3,23.04,14.71825,2.75002,2
V16,Vanderbilt,Sable,FALSE,HF,39,84.95275156,67.01408409,0.408916371,0.789002759,23.3,20.51,13.6596,2.54072,2
V16,Vanderbilt,Sable,TRUE,HF,39,77.67174251,59.06609522,0.371431439,0.759100297,23.3,20.51,13.6596,2.54072,2
V2,Vanderbilt,Sable,FALSE,LF,22.41111896,88.30808944,83.50128146,0.440374598,0.936450719,23.3,22.835,15.5927,1.60665,2
V2,Vanderbilt,Sable,TRUE,LF,23.09028534,85.85808296,79.18536673,0.425945721,0.913557131,23.3,22.835,15.5927,1.60665,2
V3,Vanderbilt,Sable,FALSE,LF,23.21507285,90.20554868,88.77170795,0.453681576,0.982428844,23.3,23.285,16.18255,1.42417,2
V3,Vanderbilt,Sable,TRUE,LF,24.07396627,92.24226517,85.3082605,0.457877703,0.922039875,23.3,23.285,16.18255,1.42417,2
V4,Vanderbilt,Sable,FALSE,LF,20.22059829,89.38417744,83.76895415,0.444911507,0.935842062,23.3,20.38,13.7671,1.117439,2
V4,Vanderbilt,Sable,TRUE,LF,20.70488937,86.9966428,79.3823007,0.430650594,0.904195469,23.3,20.38,13.7671,1.117439,2
V5,Vanderbilt,Sable,FALSE,LF,21.25228959,81.41489726,76.96048035,0.405974401,0.941959354,23.3,21.82,14.73955,1.746875,2
V5,Vanderbilt,Sable,TRUE,LF,21.93176162,80.71382028,73.47774543,0.399359552,0.908402555,23.3,21.82,14.73955,1.746875,2
V6,Vanderbilt,Sable,FALSE,LF,21.24050062,89.71501803,84.54192989,0.447070261,0.934602477,23.3,21.805,15.05025,0.7973185,2
V6,Vanderbilt,Sable,TRUE,LF,21.97094654,86.93544609,79.29168102,0.430309192,0.906210319,23.3,21.805,15.05025,0.7973185,2
V7,Vanderbilt,Sable,FALSE,LF,21.82845715,84.7219195,73.02536913,0.414655143,0.853337791,23.3,22.495,15.1589,2.04724,2
V7,Vanderbilt,Sable,TRUE,LF,22.70643139,82.68383149,75.06121523,0.408874684,0.905713354,23.3,22.495,15.1589,2.04724,2
V8,Vanderbilt,Sable,FALSE,LF,21.66333078,91.12355664,89.19939417,0.457772467,0.9741396,23.3,21.74,14.7922,1.582895,2
V8,Vanderbilt,Sable,TRUE,LF,22.03805869,86.20620773,78.38657961,0.426434222,0.906699496,23.3,21.74,14.7922,1.582895,2
