Image,lmX1,lmY1,lmX2,lmY2,Spliner,Species,Sex,Scale,cp1X1,cp1Y1,cp1X2,cp1Y2,cp1X3,cp1Y3,cp1X4,cp1Y4,cp1X5,cp1Y5,cp1X6,cp1Y6,cp1X7,cp1Y7,cp1X8,cp1Y8,cp1X9,cp1Y9,cp1X10,cp1Y10,cp1X11,cp1Y11,cp2X1,cp2Y1,cp2X2,cp2Y2,cp2X3,cp2Y3,cp2X4,cp2Y4,cp2X5,cp2Y5,cp3X1,cp3Y1,cp3X2,cp3Y2,cp3X3,cp3Y3,cp3X4,cp3Y4,cp3X5,cp3Y5,cp3X6,cp3Y6,cp3X7,cp3Y7,cp3X8,cp3Y8,cp4X1,cp4Y1,cp4X2,cp4Y2,cp4X3,cp4Y3,cp4X4,cp4Y4,cp4X5,cp4Y5,cp4X6,cp4Y6,cp4X7,cp4Y7,cp4X8,cp4Y8,cp5X1,cp5Y1,cp5X2,cp5Y2,cp5X3,cp5Y3,cp5X4,cp5Y4,cp5X5,cp5Y5,cp6X1,cp6Y1,cp6X2,cp6Y2,cp6X3,cp6Y3,cp7X1,cp7Y1,cp7X2,cp7Y2,cp7X3,cp7Y3,cp8X1,cp8Y1,cp8X2,cp8Y2,cp8X3,cp8Y3,cp9X1,cp9Y1,cp9X2,cp9Y2,cp9X3,cp9Y3,cp9X4,cp9Y4
CN02_F_015.tif,59,87.5,53,116,Will,mel,F,0.0125,52.94,116.29,57.20000076,140,81.361518,160.97269,128.340874,168.090447,208.405523,161.180363,250.283848,118.158015,201.977057,76.283353,98.468455,77.005558,74.967112,95.29819,63.20000076,97.19999695,57.20000076,97.19999695,149.004237,165.9427057,142.373743,149.776838,123.596257,136.398689,87.198514,118.754389,54.181884,110.287561,229.0285507,139.9918278,186.762277,130.380251,154.019855,125.895663,137.461647,124.353045,114.998773,116.422915,99.806941,110.899102,88.906051,111.268948,55.679457,103.04929,239.0631888,119.376864,203.991925,111.597877,147.991866,103.041038,114.668039,102.86476,103.20908,105.407998,77.10337,99.245094,60.40000153,101.5999985,56.79999924,96.40000153,207.9753525,86.0572806,182.501528,88.582666,133.676291,89.710845,82.381526,97.765342,76.68547423,100.1901048,87.33852825,85.69430579,83.830432,82.178646,59.059107,86.714316,131.7775054,142.2436489,137.602674,134.862587,140.3117957,124.3368858,101.7784319,111.948755,103.197856,107.263247,103.031027,104.4486245,64.83956133,113.1375021,65.197815,113.832741,60.808108,117.024367,62.036533,134.697545
CN02_F_016.tif,87,133,78.5,162.5,Will,mel,F,0.0125,77.91,162.29,83.19999695,188.8000031,109.042928,211.351203,148.486609,218.143175,236.512919,216.097486,282.605367,175.918629,237.08427,130.598976,128.887574,124.337305,101.413496,141.471781,88.564533,140.874385,84,141.1999969,176.0033053,217.3522146,167.839671,200.477615,148.698102,186.536771,112.831386,166.935913,79.685362,156.56939,259.5807385,195.9892234,216.330703,182.833818,182.240498,176.365851,164.441884,175.207921,142.596952,165.270466,127.454901,159.441599,115.619726,159.404632,82.172869,148.554088,271.0771576,176.8913096,235.832426,164.698393,177.019257,153.406096,144.260025,151.503434,133.010563,153.024441,104.668799,145.890595,87.19999695,147.1999969,84.80000305,141.6000061,242.8297346,141.1417787,215.395671,140.814991,164.30312,139.423877,110.207653,144.328238,104.3887039,146.7563108,114.336088,133.4086364,112.678571,128.162857,87.09,132.71,158.0909372,193.3778716,161.196879,186.26502,163.4201631,173.9635055,132.8863224,161.5789626,134.16067,157.441159,134.4227788,152.3262058,90.45508805,160.0573951,90.745051,160.448847,87.305342,162.579365,85.72394,180.296525
CN02_F_018.tif,91.5,82,79,112,Will,mel,F,0.0125,78.88,112.3,79.19999695,138,104.776067,162.67743,144.113037,176.825636,228.891041,180.569344,275.747917,147.360968,238.207427,94.791277,132.085752,79.609223,105.895505,92.359238,91.603003,90.816799,87.882332,89.79417,169.512555,177.6670276,163.779456,159.845092,146.575492,143.288207,113.171239,120.219639,81.380478,106.048804,253.3144183,163.2414574,211.840009,145.873858,179.518433,136.105964,162.817645,132.504293,141.698349,121.730402,127.609851,113.433177,116.036257,112.693833,84.729355,97.676612,265.101956,145.7011903,231.856501,129.648233,177.331107,111.752736,143.777171,106.536735,131.942376,107.535015,106.737435,98.462051,89.670107,95.9833,87.964232,89.589419,239.0389339,104.5862629,216.274245,104.430802,165.233265,97.996241,113.133573,99.016215,104.8632483,98.5394007,119.3240122,85.82714655,116.371875,81.894097,90.993808,82.015481,152.492077,149.0790878,159.072523,142.5107,162.1283107,131.5555394,128.83514,114.7152674,131.019651,110.188284,131.3309058,106.4949177,91.57168122,110.7054689,92.140371,110.942851,86.714733,112.204709,83.644643,131.256064
CN02_F_020.tif,64,79,58,109.5,Will,mel,F,0.0125,57.94,109.3,60.933931,129.781665,86.559692,154.452608,135.430876,161.470254,218.007647,151.610944,262.918117,109.168865,212.149682,63.778268,106.944061,66.427941,79.368423,87.188791,68,88.80000305,62,88.40000153,160.0738068,158.242891,151.857548,140.754669,131.333571,127.734325,93.74612,110.161833,59.024162,103.87919,241.0804112,129.7972213,197.141961,120.228619,162.807768,115.267098,145.31026,114.722802,122.240362,107.743821,106.363158,101.789028,94.733397,102.800616,60.690501,95.547497,250.9987184,109.7244312,214.967961,100.462247,156.309192,92.008031,121.832458,92.717801,109.723354,96.055053,82.72061,91.672179,64.40000153,94,62,88.40000153,219.739836,74.96573806,192.463194,76.638909,141.610817,79.52924,88.25396,88.963388,82.31983509,92.45756995,91.64717663,77.93374276,89.520399,73.358169,64.06,78.7,139.2707544,132.8064956,144.010252,126.017467,145.2216947,114.0287711,107.81986,102.8399616,109.249063,98.705139,108.9527999,95.10729904,68.98378905,105.8000281,69.249144,107.368411,64.530232,111.710304,69.254538,127.983624
CN03_F_001.tif,42.5,106.5,33.5,134.5,Will,mel,F,0.0125,33.000085,133.999734,37.20000076,156,61.975652,180.151302,109.678582,188.769197,186.711926,184.794646,230.315728,150.33889,183.504031,104.192201,81.158227,100.049473,57.308626,114.532702,44.184276,114.822421,39.20000076,116,129.9765312,187.3805674,124.975592,170.390706,106.188286,155.927825,69.1386,139.191278,34.703277,128.700917,209.4881222,166.7751042,168.103797,156.679119,135.689836,149.439952,119.274018,147.184033,96.936124,138.668368,81.726882,132.708227,70.837221,132.287804,36.931975,121.767188,219.0236888,149.9823824,185.362649,138.326426,130.063275,128.221643,96.951208,125.113379,85.188846,127.478234,59.575522,120.350813,41.20000076,120,39.20000076,116.4000015,191.0169406,115.6588101,164.640991,115.469896,116.050622,114.608327,64.949149,117.692168,59.08668238,120.9723496,69.65386792,107.0455084,66.577682,103.715616,42.09,105.72,115.5796925,163.1575362,120.322728,157.322869,122.7081788,147.4470903,82.69342818,133.5073553,84.244703,128.112217,84.04371,126.3625068,46.0872548,132.2496714,46.690167,132.34127,41.792732,134.33204,40.877431,151.671939
CN03_F_002.tif,62,43,49,70,Will,mel,F,0.0125,48.87,70.27,47.20000076,92.80000305,67.763405,121.443902,112.895551,139.257086,191.776811,148.953114,239.865611,121.071076,202.143448,65.961365,102.29612,43.812697,74.974017,54.880722,62.246345,53.215048,57.936049,51.440513,134.1239757,141.5026244,130.929439,123.171448,114.768424,105.276961,82.671124,80.832486,51.547748,64.708524,215.9283049,134.94981,177.26977,116.401956,146.725953,102.690656,130.681565,97.78779,110.084088,85.302243,96.330397,76.896461,85.71101,74.779789,54.897967,57.750377,228.9550109,118.8480146,197.023047,100.583932,144.69304,81.152063,113.031359,71.623881,101.011103,72.318774,76.682126,59.750904,62,58.40000153,57.667004,51.9993,206.1697494,77.89355186,180.872004,74.169028,133.36301,64.757465,82.349366,58.767502,76.4003534,60.64576156,89.27187811,49.10476698,86.553205,45.275755,62.091259,42.810462,121.9715167,113.268208,128.71558,107.110847,132.6679956,97.99803987,97.47561202,78.01715882,99.737879,72.905599,100.3083601,70.92385578,61.52253153,69.9851094,62.5315,70.167444,55.995652,70.642857,53.001531,89.945917
CN03_F_004.tif,86,91,78,118.5,Will,mel,F,0.0125,77.92,118.27,80.40000153,145.6000061,102,168.8000031,149.967478,181.465393,234.8000031,176.3999939,271.46185,143.449071,229.668261,93.948842,124.316289,87.907904,101.522763,101.117271,88.009593,100.85346,83.420433,99.706039,173.3119711,179.6352531,166.325615,160.420899,147.531433,146.00478,111.936584,126.703131,80.40000153,114,252.9900475,160.0506287,210.350482,147.131312,178.196917,138.989367,161.573768,136.569525,139.597783,126.680488,124.94885,119.87459,113.991291,119.332661,81.297938,106.869461,261.6156732,140.8516307,228.220557,127.924645,173.230884,116.104147,140.556165,113.078298,128.90359,114.823123,103.132143,105.381844,86,105.5999985,83.324398,100.030155,234.6832925,105.5174037,207.851158,105.682092,159.494709,103.492387,108.767463,104.597468,102.7355522,106.2908763,114.0609966,93.92271937,110.669664,89.806239,86.07915,90.732869,156.3688916,152.7870281,161.449474,145.028056,163.1424295,136.3094446,127.5901693,121.3550606,129.367359,115.307615,129.2937853,113.8077646,89.02019126,117.521609,90.364259,118.329424,84.268525,119.097544,85.187492,140.410579
CN03_F_006.tif,68.5,101.5,59.5,129,Will,mel,F,0.0125,58.931043,129.214534,60,155.1999969,84.329979,178.101457,129.233732,192.220906,205.758014,191.764006,250.764296,157.844845,206.729511,109.289009,107.357147,98.665126,82.350299,111.598883,69.190062,112.244075,64.839719,110.831985,152.5959448,191.7842603,145.454853,173.171843,127.56744,157.213745,92.877632,136.80892,62,124,229.5585328,173.7906015,188.594399,161.657166,157.423811,151.850848,141.422622,148.564889,119.66822,138.414334,105.228638,131.591601,94.817859,130.436883,62.785572,117.222666,239.6004337,156.9436812,207.055167,143.772628,153.022524,130.30647,120.957007,125.033179,109.458464,126.773393,84.332849,116.478175,68.40000153,116.4000015,64.806542,110.935202,211.5453264,119.8084059,187.356482,119.683432,139.871274,115.636369,89.989416,114.556643,83.85201639,117.3693133,95.14572951,104.9850638,92.22523,100.840934,67.995766,101.013174,136.1682783,164.88881,141.70457,157.687855,143.5559422,148.6642761,106.7352449,132.6359797,109.063658,126.366962,109.1530586,125.568142,70.84677011,127.7358153,71.476105,128.988682,64.640566,129.753685,64.988878,149.5804
CN03_F_007.tif,64.5,97,56.5,126.5,Will,mel,F,0.0125,55.92,126.29,58.79999924,149.1999969,81.425147,172.531624,128.259448,182.114649,207.779548,179.691866,254.040232,146.285083,205.852195,97.304007,104.613989,90.654681,79.077827,106.669928,65.59999847,106.4000015,61.886198,104.662534,152.7077356,181.1477119,146.235586,162.571879,126.466109,148.262199,89.765275,130.915677,57.34171,121.1363,231.3182034,162.6902906,188.584261,150.132359,156.362012,142.534844,140.193962,139.897574,117.829662,130.453269,103.096133,124.469714,91.984654,124.53119,59.558246,113.101357,242.2257119,144.0657496,207.511126,132.972285,151.881682,120.542629,119.135479,117.104995,107.242715,119.29509,80.87267,110.747053,63.20000076,111.5999985,61.860206,104.756753,211.8356219,108.3019936,187.306626,108.780723,138.385925,106.21188,86.712721,109.66678,80.81336023,111.7327705,92.15995804,98.47046439,88.966843,94.470325,64.08,96.71,136.997162,155.8998756,141.753123,151.209056,145.2826922,140.6346511,106.6044495,126.0623465,107.794066,120.663691,108.1834337,118.31286,67.29569581,124.217884,67.458112,125.184991,63.381663,128.07815,63.969876,142.96778
CN03_F_008.tif,61.5,74.5,53.5,104,Will,mel,F,0.0125,52.92,104.3,55.59999847,125.1999969,78.80000305,152.3999939,129.629649,165.136413,209.260442,154.285749,255.071875,121.729933,206.67257,74.012766,101.200853,69.389002,76.70334,83.975585,63.20000076,84.80000305,57.59999847,84.40000153,153.8288243,161.4314267,146.121347,142.546226,126.243888,128.295059,88.79229,109.681553,54.56766,98.121274,232.8874008,137.4847716,190.313697,127.336257,156.932281,120.298538,140.398849,118.085921,116.51469,109.870877,101.007384,103.040553,90.126574,102.953055,56.442901,91.089122,243.2971767,119.8883505,208.264142,108.299049,151.155941,98.507359,117.47539,95.166145,105.140206,97.265309,78.785808,89.551283,60.40000153,90,58,84.40000153,213.3693293,85.27659986,186.544406,85.324376,136.803519,84.725048,84.754133,86.957208,78.26611837,90.34164318,89.65947499,76.28680734,86.162993,73.458332,60.961693,74.14365,135.9615405,135.2626456,140.397184,127.317811,142.6833162,118.1072753,102.0009973,103.9949899,104.383116,97.322721,104.218898,96.15186222,65.17255945,101.7804404,65.737473,102.034867,60.370056,104.128414,60.098864,124.014384
