Image,lmX1,lmY1,lmX2,lmY2,Spliner,Species,Scale,cp1X1,cp1Y1,cp1X2,cp1Y2,cp1X3,cp1Y3,cp1X4,cp1Y4,cp1X5,cp1Y5,cp1X6,cp1Y6,cp1X7,cp1Y7,cp1X8,cp1Y8,cp1X9,cp1Y9,cp1X10,cp1Y10,cp1X11,cp1Y11,cp2X1,cp2Y1,cp2X2,cp2Y2,cp2X3,cp2Y3,cp2X4,cp2Y4,cp2X5,cp2Y5,cp3X1,cp3Y1,cp3X2,cp3Y2,cp3X3,cp3Y3,cp3X4,cp3Y4,cp3X5,cp3Y5,cp3X6,cp3Y6,cp3X7,cp3Y7,cp3X8,cp3Y8,cp4X1,cp4Y1,cp4X2,cp4Y2,cp4X3,cp4Y3,cp4X4,cp4Y4,cp4X5,cp4Y5,cp4X6,cp4Y6,cp4X7,cp4Y7,cp4X8,cp4Y8,cp5X1,cp5Y1,cp5X2,cp5Y2,cp5X3,cp5Y3,cp5X4,cp5Y4,cp5X5,cp5Y5,cp6X1,cp6Y1,cp6X2,cp6Y2,cp6X3,cp6Y3,cp7X1,cp7Y1,cp7X2,cp7Y2,cp7X3,cp7Y3,cp8X1,cp8Y1,cp8X2,cp8Y2,cp8X3,cp8Y3,cp9X1,cp9Y1,cp9X2,cp9Y2,cp9X3,cp9Y3,cp9X4,cp9Y4
CN004_18C_F_050610_01.tif,36.5,23.5,14,67.5,Will,mel,0.014,13.78,67.44,5.272233,108.756989,37.718089,154.743179,109.343445,192.15496,248.23838,220.820389,328.212013,171.407339,273.954792,83.171197,107.830213,30.511787,57.746093,48.45217,35.77888,40.19309,27.662997,39.674006,148.9448185,199.7428504,143.382093,164.672365,117.936209,132.615464,64.027128,89.679103,18.767888,57.464224,285.7782657,197.5733286,224.225539,160.479556,171.923051,134.584856,144.265818,123.481437,111.030037,100.717827,86.020206,82.089662,70.873241,78.525078,23.526497,47.947005,310.0944639,171.5979104,259.891675,138.619014,172.597793,100.232896,118.224923,80.003079,95.767704,77.103257,52.40000153,54.40000153,33.768689,48.717767,27.089068,40.821864,278.8527507,101.6145562,237.437873,94.065119,156.661411,70.176162,69.229742,54.395668,51.17070375,54.61166726,85.65734618,38.61726996,81.236578,27.572589,35.280276,24.439448,128.82352,146.3915992,137.707909,136.736301,144.0687781,122.3009957,87.28520655,83.99038545,92.292007,75.083348,92.50580534,74.37351457,33.42537663,67.96133143,30.825802,72.599048,21.611948,74.681423,20.92175,86.907823
CN004_18C_F_050610_02.tif,44,43,31,84.5,Will,mel,0.014,30.87,84.41,28.911116,121.779323,63.248749,156.648822,130.805875,175.972343,260.74867,181.562778,325.205081,126.099484,261.532006,58.474558,106.602034,37.079093,65.760435,59.132711,46.492078,58.138389,39.427048,57.422386,168.6966326,177.2051049,158.440119,148.78055,130.397581,125.013554,77.528968,96.670951,33.942854,74.718691,289.0297355,157.0201398,227.962247,131.170724,178.108607,118.514406,152.83586,112.017358,119.939335,99.270332,95.748963,86.463201,81.957986,85.181262,36.690595,66.052738,308.6776496,129.8468881,255.649163,107.693316,173.514687,88.324027,123.48212,78.440334,103.491496,79.952145,60.40000153,66,46.155646,64.201027,39.305699,57.805102,262.1878479,69.72642131,242.8000031,74,155.711158,63.84639,76.881682,63.994918,60.07970329,66.48684674,89.04340392,46.77759192,83.262944,39.498809,43.931278,43.216738,140.0029615,133.334282,145.618329,124.983342,149.3122021,110.3714205,95.79651217,87.45658891,98.982307,79.397857,99.02060279,77.69365314,47.07365205,81.35275677,45.719497,84.917463,39.391304,88.81293,39.051385,101.730835
CN004_18C_F_050610_03.tif,50.5,18.5,24.5,59,Will,mel,0.014,24.182358,58.712436,8.47597,96.567956,37.375002,145.964019,99.720949,183.959179,239.156145,225.980277,323.710691,186.194551,278.667371,95.655133,118.801556,29.545185,68.907761,42.770571,47.984016,34.311886,40.677156,32.701409,144.4426726,197.0932103,139.695321,163.106905,117.315479,130.94758,69.61212,86.010594,29.866502,49.748977,277.126498,207.9787719,219.719951,163.961644,170.825935,136.176326,145.234588,122.815952,114.268104,99.46298,91.533969,79.325334,77.346992,74.293849,35.4421,40.956689,305.219508,185.4873611,256.442614,147.702266,174.577958,103.127598,123.560204,78.783216,101.902142,74.559526,67.165737,51.865129,44.740572,42.504475,39.275365,34.911924,279.2089412,111.5254799,239.343371,101.859811,162.323646,72.646643,78.050929,50.280607,60.59595379,49.28090482,95.72043055,35.73349432,93.516309,24.675308,50.124718,17.803329,125.6355532,143.0735576,134.615123,135.966343,144.5959648,121.5884686,91.79580521,80.67281365,98.289259,72.902007,98.58813222,71.42806276,42.64938777,61.43092574,39.145278,64.853251,31.200963,67.054975,29.222153,76.416418
CN004_18C_F_050610_04.tif,29,48,14,93.5,Will,mel,0.014,14.781537,90.655389,14.112384,133.363841,52.138308,171.014552,121.442587,192.003235,258.456037,194.487115,323.481486,133.122668,259.084287,61.574401,94.737197,43.24456,53.176683,67.044333,31.526579,64.584643,23.565219,64.304344,162.920974,192.3285295,150.954986,161.232441,121.332808,136.219872,65.325047,105.912687,17.260075,83.219776,289.4527096,165.2006665,224.359955,141.978127,171.646324,127.428675,144.400901,122.31891,109.639731,108.189524,84.114129,94.199265,69.489211,93.369033,20.342628,73.972116,307.064377,135.71531,253.54759,115.312194,166.327909,96.209937,113.632416,86.69436,92.304499,88.699067,50,74,26.79999924,72.80000305,24,64.80000305,263.8428095,76.22454423,226.216906,78.374582,147.760484,70.784272,64.588589,71.224253,47.79220445,74.66710604,79.00604817,52.87472428,70.972825,44.112616,28.765543,48.703372,133.4387753,146.5075766,139.216434,136.44937,141.1853256,120.4675275,84.67302554,95.55509312,88.412315,86.709191,88.03902482,86.26708963,33.71768485,91.05098496,31.64214,94.904941,24.570033,99.146546,24.946175,109.734944
CN004_18C_F_050610_05.tif,31,28,13,72,Will,mel,0.014,12.82,72.44,8.467976,112.06052,45.864123,154.460338,113.132257,183.044506,255.372333,190.098905,326.635358,133.67734,265.865501,58.31099,97.710625,27.921169,53.909633,48.055232,32.483757,44.425678,24.826447,43.090908,155.9873863,184.6111902,146.689128,150.684332,118.098802,123.735543,63.157611,88.697882,17.15586,61.841232,288.6542189,163.6854136,223.115884,134.955888,170.109563,118.612967,142.746723,111.379685,108.601036,93.620742,83.22932,78.776921,68.677902,77.359287,20,53.59999847,309.6435231,134.9019699,255.565038,110.796993,167.741907,86.510635,114.340218,72.827211,92.070377,73.039933,47.59999847,54.79999924,28,52,24.39999962,44.79999924,265.9879086,70.93862602,229.339112,72.154804,150.02338,59.820321,65.368715,54.185068,46.86569811,55.52582555,82.73665015,35.7569749,74.10177,27.936106,30.664937,28.819043,128.2138127,133.4281146,136.807683,122.838943,142.3475605,110.2454615,83.44790408,80.00833173,87.45769,71.178604,87.39712334,70.20120813,31.5970049,70.31122762,29.395607,74.841823,21.501754,78.568776,21.985857,92.037249
CN005_18C_F_050610_01.tif,29.5,56.5,17,104,Will,mel,0.014,16.88,104.48,18.938081,144.959457,59.758635,179.488478,131.660704,197.752129,269.759008,186.2595,324.652373,129.866601,257.34829,63.330035,93.957003,50.192516,55.172036,74.977872,32.761657,71.749213,24.987335,72.050661,174.2964105,193.7144268,157.303299,163.653183,126.192832,141.497152,69.43034,112.487063,19.966479,92.134085,293.5975218,161.5131258,228.815354,140.681026,176.098325,129.709966,149.166649,125.082934,113.298199,112.859075,87.19429,99.817466,72.639925,100.181137,22.439122,82.24351,309.4875179,133.4064461,255.296514,114.136551,168.678948,96.199257,115.850021,89.274023,95.166704,93.59456,55.87478,81.783177,32.736867,80.941559,24.501471,73.994115,262.3857802,76.97669452,225.09174,78.843496,147.874829,73.215075,66.140837,78.98629,50.01796891,81.84148186,78.64543635,60.47163692,69.877032,51.859022,28.899913,56.40035,140.8416621,151.9343832,147.894747,139.286722,152.3838065,125.2447483,89.5762043,101.7958552,92.978723,92.657241,92.73146872,91.56434483,37.17714192,99.30834842,37.175622,104.575492,28.577548,109.019417,29.038318,119.193561
CN005_18C_F_050610_02.tif,34,58,22.5,104,Will,mel,0.014,22.446264,102.289321,25.643373,142.869843,69.086874,177.216633,138.321162,189.822746,274.605157,175.456364,324.632146,119.8264,257.368503,59.130865,95.74093,50.978162,58.868161,74.848164,38.529694,73.773091,29.796514,74.113361,180.8441958,184.9516427,162.760589,157.308097,131.132919,137.008193,75.467192,111.192385,24.969788,92.615814,297.4011858,149.9818489,231.527477,134.185478,180.059789,124.572109,153.566098,120.562764,117.810844,110.985618,91.911376,98.547837,78.342564,98.473118,27.304459,83.666242,310.2873906,123.3963466,256.976274,107.212098,171.119967,93.871869,119.310254,88.14751,98.743505,91.606941,60.862097,82.922228,38.418097,82.112554,29.077322,76.870264,259.6707725,70.62479002,225.936206,74.492028,150.191006,72.101146,71.534332,79.033437,55.81211322,82.97423455,79.89543508,61.46298032,73.366356,52.121478,33.872707,58.487957,146.1615384,146.6571609,151.589065,132.637217,153.8939227,120.1869216,89.78892339,99.09723479,92.495992,91.215546,92.40965336,89.61657356,41.16233026,98.64663343,41.504215,102.953674,32.947679,108.092473,34.331008,118.696136
CN005_18C_F_050610_03.tif,64.5,16,35.5,59,Will,mel,0.014,35.014675,58.97824,22.034274,97.070586,51.556702,148.868253,115.178722,188.33583,250.850918,223.461995,322.967403,189.257268,278.759384,103.470924,127.242148,34.769667,82.393943,44.501549,61.96724,34.120412,53.242799,31.950333,158.7058698,199.1961448,152.011252,164.120138,128.291423,133.303075,82.871347,85.84918,42.07931,48.503091,284.635421,207.389948,227.153974,169.056077,180.731044,139.301212,156.282348,125.344584,125.968347,100.796551,104.85928,79.260169,90.696317,74.685336,47.645295,40.25008,307.3051523,186.5181286,261.116029,151.151444,184.262979,105.399895,135.387021,80.509539,114.595398,75.37397,74.40000153,48.79999924,58.79999924,43.20000076,52.97413,32.348703,281.5085695,120.0804931,243.182642,108.500402,170.178821,75.26261,91.207545,53.56127,73.65169692,49.29026317,106.4886396,39.33794175,103.948306,27.459704,63.096677,17.33941,139.993604,148.5069314,150.412743,136.013012,158.6976324,126.1905485,105.1458889,80.9562883,111.490276,72.798217,111.4685752,72.32655104,56.36266338,61.67755983,56.441768,62.02216,50.923087,65.183231,47.041435,77.835225
CN005_18C_F_050610_04.tif,63,15.5,35.5,56.5,Will,mel,0.014,34.720437,56.409361,21.53579,94.957032,46.30593,143.228627,110.735601,184.214768,244.723212,223.897208,320.900935,190.872202,280.037777,102.783917,126.957762,32.394111,81.212211,41.827063,60.677516,31.743674,52.911064,29.773085,151.4152738,195.7907558,146.07803,162.397388,124.517407,130.587343,80.815486,83.325342,41.224311,46.885831,280.0648919,208.5137857,223.499413,166.745464,177.464876,136.411256,152.655277,123.160908,122.952894,98.918675,102.85066,76.990888,88.668871,72.526796,47.078724,38.313298,305.2827984,186.846616,259.100189,149.898452,181.678159,102.255303,133.740875,77.613398,112.900649,73.759735,79.277371,49.287921,57.227574,40.612933,51.815373,31.37749,279.322443,117.1102982,242.8686,105.030743,171.171925,73.764439,90.541702,50.131538,74.63774631,47.87359626,108.1853255,36.60606795,104.317126,25.037946,62.405764,15.870131,132.8964765,143.0456878,142.419966,132.478642,150.1666016,120.4780287,103.9918376,79.4861392,110.796048,72.154562,110.9677718,71.00718998,55.33833557,59.99806315,54.253003,63.326181,45.995131,64.907266,39.515345,74.007662
CN005_18C_F_050610_05.tif,36.5,26,19.5,74.5,Will,mel,0.014,18.83,74.48,14.227582,121.062406,58.758704,159.873708,127.549808,184.10657,262.906374,188.44322,326.216194,133.413075,261.204543,62.545314,99.976637,28.493759,62.064104,49.53989,38.676899,42.980447,30.087177,42.695029,164.3571369,184.6379223,153.265645,155.488509,126.059317,126.969786,72.112067,90.421104,23.336051,61.757032,292.3471117,162.7809722,225.855109,136.36481,175.173062,118.642058,149.284819,111.197563,115.003647,94.732408,90.333268,77.900034,76.049591,76.582352,26.773623,52.050947,310.0205301,134.9524641,253.168135,110.857579,169.200615,84.023894,118.247001,70.906614,97.778388,72.116934,60.252797,55.843155,37.655553,53.123053,29.410205,44.606481,258.3523595,71.69031158,225.452862,71.634677,150.131577,59.199964,70.517325,54.254266,60.51188888,57.04267324,85.93898412,37.03445744,76.144264,26.873445,35.703132,26.838217,136.3506989,137.8903393,144.650591,126.389354,151.5657136,111.3572861,91.3832291,79.72451709,95.391355,71.661057,95.73081895,69.95332795,40.4258037,71.88094182,39.096968,76.030733,31.68963,79.53875,27.642613,87.512519
