Line,Temp,Sex,Ind,Pop,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,Csize,Elevation,Lat,Lon
CN4,18C,F,1,CN,0.04960939,-0.11061296,0.22237512,-0.0306256,0.2386338,0.01612742,0.15940992,0.08748177,-0.12180281,0.05854643,-0.1938616,0.04814141,-0.00608721,-0.05413077,-0.00029887,-0.01489401,-0.09412435,0.00177113,-0.09291387,0.01694594,-0.15662698,0.01874455,-0.17165646,-0.00824563,-0.19693073,-0.01867057,-0.18123669,-0.06899774,-0.1429147,-0.10043061,-0.09495148,-0.11572405,-0.0457962,-0.12025732,0.00187201,-0.11753304,0.09207144,-0.10219031,0.13997175,-0.08828075,0.18530304,-0.06550848,0.23492292,-0.00812783,0.22083409,0.05185444,0.18954848,0.07506752,0.10377732,0.09721876,0.05731122,0.09758083,0.00831418,0.09313352,-0.05391757,0.08321354,-0.149729,0.03606596,-0.19494895,0.02447076,0.02617228,-0.07718035,-0.05626742,-0.03558735,-0.1124577,-0.02108022,0.15109239,-0.0218648,0.07721785,-0.01627685,-0.04259358,-0.00822053,-0.14075263,0.00320431,0.17536957,0.02587292,0.11578876,0.02930051,0.04911787,0.02910449,-0.02308034,0.02637304,-0.12115312,0.01750842,0.10230026,0.07476739,0.04602614,0.0663143,-0.01729501,0.05614514,-0.07939411,0.04246919,-0.15544725,0.06197864,-0.00080116,-0.03496252,5.125395289,1121,5.5,10.68
CN4,18C,F,2,CN,0.04880136,-0.10857356,0.22399248,-0.03316188,0.24371492,0.01540412,0.15076467,0.08938954,-0.1206554,0.05982098,-0.1904732,0.04844521,-0.01108424,-0.05263941,-0.00549256,-0.01431208,-0.09526925,0.00057083,-0.09400607,0.01659316,-0.15729855,0.0191219,-0.1715152,-0.00828719,-0.19497966,-0.01895689,-0.18082324,-0.06927276,-0.14244807,-0.10152963,-0.09403274,-0.11596001,-0.04485677,-0.11879156,0.00267421,-0.11521394,0.09278199,-0.10040903,0.1407089,-0.08732765,0.18652282,-0.06568228,0.23894695,-0.00912977,0.2231309,0.05401343,0.19043461,0.07574098,0.10445019,0.0959109,0.05815989,0.09621391,0.00925852,0.09204702,-0.05296117,0.08275015,-0.14936316,0.03714995,-0.19202727,0.02520135,0.02447649,-0.07543134,-0.05898707,-0.03599099,-0.1150802,-0.02159452,0.15188641,-0.02178504,0.07799872,-0.01626891,-0.0417503,-0.0098067,-0.13953298,0.00264614,0.17883219,0.02504685,0.118317,0.0286025,0.05061745,0.0282653,-0.02273928,0.02606747,-0.12171445,0.01740589,0.09749247,0.07320025,0.04226251,0.06555363,-0.01970159,0.0555226,-0.08047324,0.04205223,-0.15298562,0.06132707,-0.0059744,-0.03393823,4.559209262,1121,5.5,10.68
CN4,18C,F,3,CN,0.04882527,-0.10884368,0.2213263,-0.03240725,0.24103358,0.01463424,0.15850549,0.08903654,-0.12123753,0.05891854,-0.19013904,0.05030985,-0.01121413,-0.05437334,-0.00218947,-0.01477767,-0.09564477,0.00033211,-0.09346161,0.01644315,-0.15576074,0.01823885,-0.16985454,-0.0090522,-0.19467949,-0.01819307,-0.18323134,-0.07028077,-0.1437085,-0.1024188,-0.09500059,-0.11748534,-0.04553149,-0.12040906,0.00214197,-0.11622008,0.09226448,-0.10017586,0.14000045,-0.08622219,0.18534548,-0.0639781,0.23656488,-0.00770119,0.2221632,0.05382169,0.19018816,0.07674539,0.10388248,0.09779792,0.0573818,0.09791143,0.00834343,0.09342771,-0.05396237,0.08361085,-0.14979069,0.03620232,-0.19179256,0.02536279,0.02364084,-0.07716425,-0.0584308,-0.03762325,-0.11385061,-0.02300106,0.15031108,-0.0215315,0.07695054,-0.01579595,-0.04204309,-0.00959658,-0.13925608,0.00238977,0.17712065,0.02440714,0.11698674,0.02821537,0.04967956,0.02832736,-0.02323389,0.02604146,-0.12232819,0.01756774,0.10187014,0.07520685,0.0458904,0.06627987,-0.0171049,0.05584503,-0.07891948,0.04212303,-0.1533556,0.06325612,-0.00469542,-0.03520192,5.028512995,1121,5.5,10.68
CN4,18C,F,4,CN,0.05017814,-0.11138798,0.22311236,-0.02959569,0.23849631,0.01878894,0.15619346,0.08980274,-0.11770595,0.06095675,-0.1914196,0.04998541,-0.00773294,-0.0554052,-0.00538245,-0.01531202,-0.09512997,0.00144742,-0.09342385,0.01595163,-0.15526485,0.01904784,-0.16998481,-0.00928655,-0.19737068,-0.01511512,-0.18118751,-0.0686157,-0.14354825,-0.10127104,-0.09535066,-0.1175705,-0.0457943,-0.12199924,0.00213809,-0.11870236,0.09262369,-0.10286401,0.14064015,-0.08869447,0.18595229,-0.0655905,0.23478948,-0.00789153,0.22219516,0.05207168,0.19098297,0.07598299,0.10455792,0.09791573,0.05792974,0.09783008,0.00884301,0.09292494,-0.05347547,0.0826564,-0.1496953,0.03615184,-0.19363267,0.02577605,0.0259805,-0.07848956,-0.05641923,-0.03738596,-0.11232365,-0.02236445,0.15084269,-0.02160049,0.07694814,-0.01644321,-0.0430942,-0.00993798,-0.14095294,0.00302414,0.17483763,0.02677081,0.11524905,0.02920502,0.04861024,0.02832952,-0.02359068,0.02565983,-0.12144447,0.0175328,0.10032931,0.07503619,0.04480554,0.0661733,-0.0176539,0.05592224,-0.0789732,0.04247634,-0.15202088,0.06363831,-0.00366348,-0.03553535,4.822849172,1121,5.5,10.68
CN4,18C,F,5,CN,0.0484184,-0.11315731,0.22333741,-0.02890062,0.24039532,0.0196896,0.15330869,0.09003486,-0.11501388,0.06236144,-0.18998409,0.05026343,-0.01135763,-0.05388369,-0.00145511,-0.01590334,-0.09558697,0.00140423,-0.09420764,0.01662535,-0.15642823,0.02004726,-0.17140144,-0.00678244,-0.19650576,-0.01755472,-0.18094313,-0.0694974,-0.14247451,-0.10083608,-0.09473094,-0.1180334,-0.04525442,-0.12415726,0.00284445,-0.12089376,0.09299179,-0.10291936,0.14050569,-0.08750834,0.18532275,-0.06422088,0.23560333,-0.00812917,0.2234421,0.05318052,0.19130324,0.07644027,0.10461107,0.09663232,0.05812243,0.09632197,0.00911563,0.0915337,-0.05318404,0.08169834,-0.15012525,0.03689908,-0.19211784,0.02807475,0.02498233,-0.0786574,-0.05856452,-0.0366362,-0.1148976,-0.0208707,0.15161581,-0.02039195,0.07767057,-0.01616314,-0.04236788,-0.00928342,-0.14035407,0.00287696,0.17607708,0.02731612,0.11607788,0.02934818,0.04900236,0.02802292,-0.02370539,0.02551503,-0.12201713,0.01808585,0.09816192,0.07384111,0.04297982,0.06471632,-0.01906822,0.05440844,-0.08007673,0.0413982,-0.14955525,0.06311842,-0.0045124,-0.03547409,4.931423424,1121,5.5,10.68
CN5,18C,F,1,CN,0.05655249,-0.1094473,0.22315867,-0.02980847,0.23889789,0.01580203,0.15439076,0.08597454,-0.12011023,0.06046151,-0.19432052,0.05297033,-0.00393048,-0.05710792,0.00580284,-0.01475764,-0.09285264,0.00269099,-0.09098696,0.01858219,-0.15639361,0.02130148,-0.17053366,-0.00784651,-0.19896211,-0.02094477,-0.18289568,-0.07105867,-0.14427237,-0.1029703,-0.0960265,-0.11878309,-0.04657764,-0.12368726,0.00120495,-0.11994352,0.0906664,-0.10092556,0.13796276,-0.08589709,0.1831978,-0.06414025,0.23535294,-0.00913394,0.21913826,0.0509711,0.18763015,0.07326549,0.10233796,0.09430996,0.05608535,0.09473687,0.00716849,0.09065301,-0.05512295,0.08152196,-0.15205571,0.03663773,-0.1958314,0.02891037,0.02950997,-0.07874207,-0.05426067,-0.03820289,-0.11090419,-0.0216607,0.15249333,-0.0208318,0.07818208,-0.01573059,-0.04250679,-0.0087358,-0.14093255,0.00437937,0.17589485,0.02545296,0.11650654,0.02996807,0.04994934,0.03145089,-0.02224299,0.0300329,-0.12041907,0.01994468,0.09836446,0.0740609,0.04298288,0.06685105,-0.01930406,0.05749796,-0.08016899,0.04362848,-0.15430755,0.06475193,0.00248815,-0.0364526,4.77264678,1121,5.5,10.68
CN5,18C,F,2,CN,0.05895668,-0.10624212,0.22783369,-0.02673141,0.2413463,0.01652416,0.15258059,0.08508683,-0.12221737,0.05817108,-0.19270895,0.0522357,-0.00235062,-0.05602361,0.00336985,-0.01411296,-0.09866496,0.00332628,-0.09684171,0.01830336,-0.15386793,0.02007105,-0.17253347,-0.00702979,-0.20009862,-0.0168048,-0.18248598,-0.07032763,-0.14370245,-0.10174579,-0.09574967,-0.11770538,-0.04656418,-0.1216316,0.00081841,-0.11728845,0.08991409,-0.09881045,0.13722674,-0.08479203,0.18280505,-0.06444708,0.23721834,-0.0107573,0.21999469,0.05164107,0.18770377,0.0729756,0.102522,0.09209285,0.05660094,0.09226685,0.0079717,0.08828462,-0.0540193,0.07962673,-0.15098555,0.03698086,-0.19534509,0.02760665,0.03080975,-0.07633745,-0.05456887,-0.03697605,-0.1121062,-0.02060903,0.15523862,-0.02050106,0.08008751,-0.01612804,-0.04208208,-0.00924353,-0.14148219,0.00519861,0.17665986,0.02547031,0.11637175,0.02894858,0.04886656,0.02938171,-0.02429464,0.02782965,-0.12291977,0.0194635,0.0976248,0.07213546,0.04300018,0.06459224,-0.0184149,0.05523595,-0.07862155,0.04221243,-0.15481744,0.06409961,0.00192158,-0.03551618,4.64981411,1121,5.5,10.68
CN5,18C,F,3,CN,0.0596161,-0.10704588,0.22556856,-0.02557184,0.23913806,0.01748327,0.15789208,0.0830598,-0.12335643,0.05792948,-0.19453015,0.05421477,-0.00113971,-0.05630629,0.00633797,-0.01430961,-0.09469585,0.0040801,-0.09296044,0.01965612,-0.15780907,0.02132751,-0.17073386,-0.00702336,-0.1998227,-0.0191706,-0.18355711,-0.07150455,-0.14440261,-0.10274811,-0.09636243,-0.11905002,-0.04697794,-0.12323109,0.0005505,-0.11883796,0.08952442,-0.09941905,0.13658763,-0.08454332,0.18166963,-0.06327186,0.23500579,-0.00982967,0.21859614,0.05098858,0.18659631,0.07223978,0.10173298,0.09231915,0.05575237,0.09287302,0.00703303,0.08910674,-0.05508817,0.08050112,-0.15217801,0.03711785,-0.19638728,0.02846409,0.03214806,-0.0766704,-0.05299027,-0.03808861,-0.11012669,-0.02159199,0.15413998,-0.02082606,0.07932902,-0.01661698,-0.04208635,-0.00757087,-0.14122985,0.00534384,0.175438,0.02551176,0.11581987,0.02909452,0.04904798,0.0300758,-0.02331818,0.02836212,-0.12149958,0.02025069,0.10102328,0.07120867,0.0448198,0.06452854,-0.01843766,0.0559771,-0.08017861,0.04221885,-0.15597868,0.06502361,0.00248008,-0.03572874,4.869063412,1121,5.5,10.68
CN5,18C,F,4,CN,0.05332274,-0.108634,0.22500427,-0.02869965,0.24063275,0.0174293,0.15587998,0.08597984,-0.11993172,0.05980171,-0.19311581,0.05179154,-0.00937266,-0.055953,-0.00443582,-0.01461796,-0.09322936,0.00261394,-0.09076014,0.01850759,-0.15381978,0.02056966,-0.16910574,-0.00911342,-0.19777617,-0.01997034,-0.18254547,-0.07112455,-0.1443072,-0.10404506,-0.09564638,-0.11950244,-0.04611399,-0.12256837,0.00147735,-0.11810189,0.09098232,-0.09984497,0.13834765,-0.08541473,0.18366352,-0.06399801,0.23674602,-0.0094425,0.2202328,0.05194713,0.18824706,0.07393751,0.10269671,0.09418497,0.05648788,0.09437219,0.00763026,0.09012809,-0.05458174,0.0809367,-0.15151878,0.0365531,-0.19471408,0.02718076,0.02641936,-0.07812482,-0.05653548,-0.03853281,-0.11228141,-0.02231702,0.15235424,-0.02138349,0.07802764,-0.01609391,-0.0427442,-0.00929623,-0.14118686,0.00379069,0.17726743,0.02597056,0.11776501,0.02991573,0.05111748,0.03108671,-0.02115685,0.02930192,-0.11930545,0.01961268,0.0999098,0.07475042,0.04475916,0.06706649,-0.01726259,0.05718311,-0.07795275,0.04336032,-0.15387799,0.06452051,-0.005693,-0.03571401,4.867629208,1121,5.5,10.68
CN5,18C,F,5,CN,0.05535386,-0.11259079,0.22689943,-0.02636598,0.23986426,0.02062499,0.13945812,0.08775396,-0.11933163,0.06224495,-0.19477746,0.05495186,-0.00445443,-0.05858877,0.00559383,-0.01449223,-0.09318242,0.00422944,-0.09125751,0.01992599,-0.14664091,0.02296164,-0.16863183,-0.00670243,-0.19804739,-0.01971139,-0.18452737,-0.07192499,-0.14589697,-0.10478104,-0.09720741,-0.12014057,-0.04749902,-0.12559026,0.00065721,-0.12254417,0.09081275,-0.10393915,0.13855843,-0.08899364,0.18401384,-0.06653742,0.23578129,-0.01036265,0.2208655,0.05141858,0.18812638,0.07252742,0.10233421,0.09253099,0.0559274,0.09341302,0.00674256,0.09009045,-0.05600864,0.08186864,-0.15343366,0.03652371,-0.19586581,0.03010138,0.02894742,-0.08120067,-0.05393417,-0.03849535,-0.11043036,-0.02146044,0.15513897,-0.02055784,0.08026483,-0.01610911,-0.04150002,-0.00828153,-0.14049909,0.00627459,0.17636411,0.02704985,0.11745144,0.03022709,0.0515189,0.03121201,-0.02002197,0.03005106,-0.11638388,0.02102743,0.08878122,0.07426709,0.03776925,0.06623643,-0.01965885,0.05702703,-0.07608148,0.04499761,-0.1540702,0.06694093,0.00211727,-0.03710774,4.823190618,1121,5.5,10.68
