LineID,Pop,Line,Ind,Sex,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,Csize,Elevation,Lat,Lon
CN002,CN,2,15,F,0.04169581,-0.11118119,0.21939512,-0.03188204,0.23742316,0.0179923,0.1577545,0.08701007,-0.11980372,0.05828108,-0.18459749,0.04900472,-0.00373413,-0.06089412,0.01150674,-0.01761644,-0.08015735,0.00143356,-0.07911435,0.01899111,-0.14075374,0.0223295,-0.16482683,-0.01035302,-0.19142371,-0.02052005,-0.17456896,-0.06657728,-0.13894413,-0.09932901,-0.09234757,-0.11536845,-0.04396674,-0.11903932,0.00300511,-0.11621898,0.09298059,-0.10198369,0.14101579,-0.08763759,0.18481392,-0.06427278,0.23363517,-0.00831016,0.22072122,0.05019484,0.18968804,0.07358469,0.10375082,0.09679303,0.05697122,0.09730571,0.00733559,0.09267918,-0.05446519,0.08267612,-0.14904389,0.03421534,-0.18630383,0.02443166,0.02242226,-0.08014045,-0.05314589,-0.03911416,-0.1064295,-0.02147703,0.15171791,-0.02400963,0.07976969,-0.01893264,-0.03699446,-0.00837111,-0.13297051,0.00317719,0.17709373,0.02457865,0.12001619,0.02870875,0.05593365,0.03137866,-0.01354759,0.02945074,-0.10700426,0.02044153,0.10316323,0.07627798,0.05014211,0.06851435,-0.00948908,0.05897587,-0.06760582,0.04555367,-0.1495698,0.05926295,0.00722469,-0.04061956,4.0530784,1121,11.85,13.16
CN002,CN,2,16,F,0.04295823,-0.10803213,0.21977964,-0.03078891,0.23828611,0.01551051,0.16305856,0.08426647,-0.1233947,0.05509138,-0.18379618,0.04682736,-0.00521495,-0.06155198,-0.00043743,-0.01677362,-0.07230312,-0.00042248,-0.07224139,0.02055743,-0.14055105,0.02204404,-0.16652439,-0.01233516,-0.1934161,-0.0217792,-0.17453398,-0.06624202,-0.1391092,-0.09895276,-0.09284221,-0.11643801,-0.04432748,-0.1188199,0.00234437,-0.11417525,0.09185102,-0.09904064,0.13952521,-0.0850713,0.18345371,-0.06294775,0.2338902,-0.00846687,0.22021987,0.05083506,0.18874672,0.07359831,0.10292563,0.09503431,0.05644741,0.09526679,0.00702936,0.09079662,-0.05458542,0.08124455,-0.15008382,0.03571284,-0.18756214,0.02697221,0.02100718,-0.07945572,-0.05487443,-0.0406615,-0.10801856,-0.0233148,0.1508789,-0.0216785,0.07885996,-0.01626011,-0.03802364,-0.00830009,-0.13414254,0.00187915,0.17974156,0.0252603,0.12312725,0.03024189,0.05947456,0.03219326,-0.00945646,0.03017775,-0.10336824,0.02093656,0.10716072,0.07595268,0.0532852,0.06847878,-0.00725364,0.05874584,-0.0663494,0.04551693,-0.15161807,0.05806597,-0.00107391,-0.03977757,4.191247545,1121,11.85,13.16
CN002,CN,2,18,F,0.04640876,-0.11246215,0.22113597,-0.03115714,0.23650401,0.01420528,0.15508886,0.0886583,-0.11788933,0.05861329,-0.18211624,0.05013047,-0.00779121,-0.06003961,0.00288142,-0.01599099,-0.07993562,0.00107587,-0.07935731,0.02053719,-0.14197066,0.02222362,-0.163819,-0.01227728,-0.19063161,-0.02329992,-0.17514877,-0.06774365,-0.13795359,-0.09948982,-0.0916374,-0.11662962,-0.04296489,-0.1224801,0.00436408,-0.11919065,0.09414752,-0.1022716,0.14186748,-0.0869508,0.1856283,-0.06381219,0.23402782,-0.00824357,0.21997435,0.04803726,0.1907155,0.07279683,0.10504348,0.09750611,0.05811966,0.09758609,0.00846602,0.09229572,-0.05331684,0.08187627,-0.14956773,0.03681978,-0.18430344,0.0312696,0.02422267,-0.08176462,-0.05359055,-0.04063101,-0.10802759,-0.02304657,0.15203866,-0.02215804,0.08007225,-0.01665652,-0.03697756,-0.00875334,-0.1328178,0.00248,0.1765233,0.02500911,0.11953869,0.03105916,0.05534189,0.0342529,-0.01434574,0.03203799,-0.10768926,0.02106778,0.10148502,0.07591038,0.04875207,0.06754777,-0.01048829,0.0570286,-0.06798273,0.04236278,-0.14728492,0.05967832,0.00178012,-0.03917444,4.136608145,1121,11.85,13.16
CN002,CN,2,20,F,0.04516537,-0.1108945,0.21953695,-0.03250399,0.23775825,0.01390344,0.16184706,0.08513064,-0.12180253,0.05439015,-0.18286788,0.04748773,-0.00578868,-0.05837971,0.00387412,-0.01559389,-0.08122222,0.00217853,-0.08016667,0.01954924,-0.139759,0.02040608,-0.16683267,-0.01171273,-0.19067639,-0.02156099,-0.17401779,-0.06677539,-0.13831075,-0.09921938,-0.09196426,-0.11616416,-0.04347205,-0.1199663,0.00350733,-0.11684741,0.09319947,-0.1014486,0.14084327,-0.08644011,0.18448181,-0.06335874,0.2345716,-0.00854733,0.21947794,0.04895072,0.18918542,0.07244914,0.10397316,0.09726894,0.05714424,0.09808273,0.00747569,0.09341094,-0.05426341,0.08298029,-0.14846485,0.03382939,-0.18560938,0.02557711,0.02441132,-0.07909987,-0.05404163,-0.03779965,-0.10890196,-0.02005002,0.15081568,-0.02365131,0.07915798,-0.01714594,-0.03728846,-0.00820192,-0.1330019,0.00284435,0.17728196,0.0237211,0.12013858,0.02950404,0.05581759,0.03303492,-0.01411796,0.03129051,-0.10735039,0.01981171,0.10610874,0.07696634,0.05249631,0.06927103,-0.00772168,0.05910245,-0.06645982,0.04543301,-0.14992998,0.05731928,0.00292949,-0.03800334,4.210118814,1121,11.85,13.16
CN003,CN,3,1,F,0.04719349,-0.10639251,0.22312615,-0.02876476,0.23881824,0.01363498,0.16114999,0.08236617,-0.122512,0.05644801,-0.18669892,0.04910417,0.00478437,-0.05586041,0.01532348,-0.01687005,-0.08239364,0.00023068,-0.08197126,0.01724868,-0.14166962,0.02028043,-0.16744726,-0.01068368,-0.19702453,-0.01966812,-0.17527269,-0.0658618,-0.13859669,-0.096775,-0.09276082,-0.11291642,-0.0448796,-0.11631307,0.00164968,-0.11308793,0.09070896,-0.09777058,0.13814682,-0.08400057,0.18221521,-0.06281161,0.23525018,-0.01014554,0.21817936,0.04861452,0.18728536,0.07087881,0.10279124,0.09401351,0.05653814,0.09460385,0.00736582,0.08983493,-0.05394728,0.07997537,-0.14989263,0.03675772,-0.18949518,0.02426108,0.02880777,-0.0739279,-0.05002278,-0.03475111,-0.10553771,-0.02073822,0.15463724,-0.02348744,0.08130649,-0.0186145,-0.03774594,-0.0083035,-0.13561959,0.00226183,0.17794825,0.02365431,0.12020697,0.02819648,0.05532797,0.02948047,-0.01488126,0.02759139,-0.10920052,0.01843256,0.10519723,0.07371403,0.05151501,0.06578404,-0.00881687,0.05600533,-0.06798925,0.04393875,-0.15173953,0.05771714,0.01320027,-0.03736423,4.004445464,1121,11.85,13.16
CN003,CN,3,2,F,0.04859808,-0.10941967,0.22193661,-0.03115826,0.23776476,0.01415513,0.1560331,0.08568377,-0.12149965,0.05708178,-0.18571802,0.04955972,8.98E-06,-0.05732659,0.01140384,-0.01564956,-0.08099486,0.00042199,-0.08036153,0.01811161,-0.14055552,0.02183947,-0.16570984,-0.01016857,-0.19308954,-0.02068358,-0.17546305,-0.06684174,-0.13893866,-0.09853386,-0.0927397,-0.11536381,-0.04435376,-0.11947334,0.00259306,-0.11637686,0.09214527,-0.10045069,0.13989592,-0.08610148,0.18407138,-0.06404095,0.2351909,-0.00937922,0.2185481,0.04804012,0.1882878,0.07122903,0.10353114,0.09614608,0.05682887,0.09691997,0.00728591,0.09197285,-0.05432811,0.08154097,-0.14983207,0.0355157,-0.18803476,0.02748348,0.02811745,-0.07752403,-0.05070071,-0.0366066,-0.10619883,-0.02036344,0.15344417,-0.02410431,0.08089132,-0.01763908,-0.03703437,-0.00779422,-0.13404615,0.00247863,0.17730359,0.02440325,0.12004196,0.02898116,0.05572392,0.02996675,-0.01389551,0.02851342,-0.1072989,0.01956935,0.1016288,0.07516271,0.04907189,0.06671904,-0.01005175,0.0568273,-0.06803352,0.04469642,-0.15074389,0.05817279,0.0090045,-0.03753507,4.045345536,1121,11.85,13.16
CN003,CN,3,4,F,0.05200384,-0.1105299,0.22348584,-0.02951841,0.23419444,0.01793923,0.15693431,0.08559225,-0.12163693,0.0563772,-0.18648966,0.05073282,0.00127498,-0.05750516,0.00903986,-0.01706404,-0.07837272,0.00045908,-0.07798497,0.01833908,-0.14160308,0.02315127,-0.16750612,-0.00859735,-0.19230648,-0.01539813,-0.1742976,-0.06596035,-0.14007964,-0.1003281,-0.09326779,-0.11771811,-0.04449133,-0.12248158,0.00271979,-0.11918798,0.09182805,-0.10097412,0.13930795,-0.08596447,0.18361574,-0.06451647,0.23388272,-0.01003174,0.21749661,0.04590879,0.18859762,0.07043834,0.10391377,0.0959835,0.05720575,0.0960743,0.0078364,0.09037803,-0.05355154,0.07946419,-0.14976745,0.03593471,-0.18838511,0.02918358,0.03055527,-0.07834322,-0.05040424,-0.03764596,-0.10709648,-0.02118139,0.15438751,-0.023069,0.08149231,-0.01798224,-0.03705531,-0.00870072,-0.13415878,0.00294565,0.17483209,0.02759477,0.11830941,0.03185506,0.0548248,0.03265581,-0.01379539,0.02939837,-0.10626858,0.02011637,0.10222534,0.07449493,0.04949669,0.06558239,-0.00984561,0.05546929,-0.06810259,0.04344695,-0.15120443,0.05918301,0.00810904,-0.03798101,4.055874131,1121,11.85,13.16
CN003,CN,3,6,F,0.05546612,-0.11079358,0.2222779,-0.02848998,0.23630791,0.01548331,0.1521894,0.08563642,-0.12252636,0.05751553,-0.18687766,0.05213542,0.00346256,-0.05790872,0.01174065,-0.01677806,-0.08120963,0.00031788,-0.07943824,0.01780845,-0.14180654,0.0231036,-0.1660863,-0.0075964,-0.19261028,-0.01734285,-0.17515898,-0.06692355,-0.13835246,-0.09829833,-0.09222066,-0.11456312,-0.04401338,-0.12056658,0.00318671,-0.11874573,0.09289542,-0.10255176,0.14047843,-0.08714355,0.1840115,-0.06382775,0.23364672,-0.00889547,0.21823427,0.04736978,0.18801502,0.07019114,0.10368745,0.09499361,0.05712318,0.09604438,0.00762066,0.09142951,-0.05403413,0.08146568,-0.15043929,0.03698738,-0.18887358,0.02794531,0.03257766,-0.07939874,-0.04788119,-0.03653835,-0.10496498,-0.0196021,0.15359153,-0.02438984,0.08077179,-0.0193974,-0.03739995,-0.00835588,-0.13436245,0.00319697,0.17631992,0.02446056,0.11929326,0.02852675,0.05525296,0.02962536,-0.01408073,0.02786986,-0.10744472,0.01996019,0.09837306,0.07411026,0.04633379,0.06574112,-0.01229254,0.05639851,-0.06990457,0.04528679,-0.15184484,0.06045326,0.01113821,-0.03815022,3.983538856,1121,11.85,13.16
CN003,CN,3,7,F,0.04990765,-0.10669891,0.22174594,-0.0321187,0.23895934,0.01490021,0.15482257,0.08400082,-0.12243713,0.05705144,-0.18726614,0.04948098,0.00362226,-0.05554597,0.01623655,-0.01727805,-0.07807458,2.49E-05,-0.07766841,0.01836747,-0.14286604,0.0220925,-0.16857195,-0.01198828,-0.19368578,-0.02141367,-0.17594721,-0.06640008,-0.1398734,-0.09912882,-0.09307617,-0.11492161,-0.04481278,-0.11768108,0.00187438,-0.11404636,0.09114715,-0.09841642,0.13870305,-0.08436396,0.18297424,-0.06309118,0.23665494,-0.00999278,0.21752111,0.04802057,0.18679374,0.07006342,0.1027807,0.09472126,0.05636394,0.09609532,0.0069251,0.09181888,-0.05466769,0.08202642,-0.1499934,0.03600613,-0.18899205,0.03042107,0.0297246,-0.07454888,-0.05059914,-0.03543348,-0.10699243,-0.02114236,0.15416314,-0.02491705,0.08139968,-0.01910495,-0.03668422,-0.00851388,-0.13405505,0.00128805,0.17864663,0.02255689,0.12137489,0.02703215,0.05704168,0.029629,-0.01273503,0.02864615,-0.10677709,0.01947806,0.10038755,0.07371085,0.04760062,0.06625349,-0.011782,0.05705078,-0.06977247,0.04440232,-0.15214951,0.05905225,0.01293171,-0.03764053,4.041187824,1121,11.85,13.16
CN003,CN,3,8,F,0.05313174,-0.10980974,0.22163337,-0.02760039,0.23860422,0.01558798,0.15904406,0.08233581,-0.12140411,0.05780317,-0.18648235,0.05224154,0.00364524,-0.05762487,0.01251152,-0.01675666,-0.08374347,0.00017334,-0.08160619,0.01854872,-0.14185791,0.02219535,-0.16706618,-0.00816461,-0.19361106,-0.01823516,-0.17342463,-0.06571573,-0.13844581,-0.09831241,-0.09274688,-0.11662748,-0.04420365,-0.12252972,0.00305622,-0.11953496,0.09128471,-0.09915033,0.1375844,-0.08211273,0.18072411,-0.05973185,0.23476416,-0.00974985,0.21798182,0.04819616,0.18712667,0.07021328,0.10285322,0.09340744,0.05660782,0.09418678,0.00737828,0.08964762,-0.05406107,0.08011427,-0.15052825,0.03723615,-0.19031107,0.02804569,0.03172137,-0.07777894,-0.04903535,-0.03687236,-0.10572743,-0.0202397,0.15309102,-0.02254347,0.08032702,-0.01820947,-0.03815831,-0.00947514,-0.13492112,0.00277721,0.17781659,0.02489402,0.1201392,0.02890795,0.05538448,0.0296965,-0.01468157,0.02783633,-0.10903537,0.02014338,0.10354959,0.07339632,0.05030427,0.06530249,-0.00956967,0.05567191,-0.06843545,0.04447137,-0.15080782,0.05892171,0.01008773,-0.03781617,4.130582724,1121,11.85,13.16
