Squirrel.ID,Year.Sample.Collected,FCM.ng.g.dry,Food.Add.Grid,Raw.Squirrel.Density,scaled.days.postconception
4698046981,2007,418.392793,N,1.6985138,-1.353315598
4998549986,2007,214.5157022,N,1.6985138,0.316772061
6087860879,2008,405.9115129,N,1.6985138,-1.353315598
6250062499,2011,1612.06674,N,1.840056617,-0.685280534
4688946890,2007,396.3537922,N,1.981599434,-0.685280534
6250062499,2008,7221.933966,N,1.981599434,-0.351263002
4716347164,2008,437.3157248,N,1.981599434,-1.353315598
4716347164,2008,582.5821314,N,1.981599434,-0.01724547
6284660877,2008,467.3976608,N,1.981599434,0.316772061
6284660877,2008,449.21875,N,1.981599434,-1.019298066
6284660877,2008,360.0879834,N,1.981599434,1.652842189
6727767278,2011,2237.224114,N,1.981599434,0.984807125
6662866629,2011,2779.023595,N,2.123142251,-0.01724547
4861846844,2007,186.4083451,N,2.264685067,-0.685280534
6440164409,2011,2754.005919,N,2.264685067,0.316772061
6056360564,2011,1013.374799,N,2.264685067,-0.685280534
6056360564,2011,890.181075,N,2.264685067,1.652842189
6835568356,2011,1249.562721,N,2.547770701,-1.019298066
6835568356,2011,1202.151776,N,2.547770701,1.652842189
6517065171,2011,1008.113429,N,2.689313517,-0.685280534
4820748208,2007,718.3309809,N,3.113941967,0.483780827
6340963410,2010,741.6443877,N,0,-0.01724547
6201362014,2008,1116.582808,N,0.42462845,-0.01724547
4956749568,2009,575.8306752,N,0.42462845,0.984807125
4956749568,2009,1454.253113,N,0.42462845,-1.353315598
6085360854,2009,1625.007098,N,0.42462845,0.316772061
6085360854,2009,670.6289075,N,0.42462845,-1.353315598
6216562166,2009,589.0005282,N,0.566171267,1.652842189
6216562166,2009,831.850874,N,0.566171267,-0.01724547
1.02E+11,2010,756.4958043,N,0.566171267,-0.351263002
4842846795,2009,771.4859499,N,0.707714084,0.650789593
6272662727,2009,358.4400952,N,0.707714084,1.652842189
1.02E+11,2009,780.6698032,N,0.707714084,1.652842189
1.02E+11,2009,1537.840616,N,0.8492569,-0.685280534
4842846795,2010,271.1981314,N,0.8492569,1.652842189
4768547686,2009,431.5263909,N,0.990799717,0.984807125
4768547686,2009,1523.627027,N,0.990799717,-1.353315598
6340963410,2011,3274.999778,N,0.990799717,-1.353315598
1.02E+11,2008,420.6073113,N,1.132342534,0.316772061
6845168452,2011,6165.570111,N,1.132342534,-1.019298066
6848868489,2011,1308.532802,N,1.132342534,1.652842189
4922449225,2008,719.4303338,N,1.27388535,0.650789593
4768547686,2008,253.4517974,N,1.415428167,1.318824657
4768547686,2008,636.3502358,N,1.415428167,-0.685280534
6837868379,2011,3346.843097,N,1.415428167,0.984807125
6837868379,2011,2154.764761,N,1.415428167,-0.01724547
6713265482,2011,3342.804296,N,1.415428167,1.652842189
6713265482,2011,3301.172524,N,1.415428167,0.984807125
6713265482,2011,6097.542855,N,1.415428167,-1.353315598
6713265482,2011,7561.927539,N,1.415428167,-0.685280534
1.02E+11,2011,1654.044768,N,1.556970984,0.984807125
1.02E+11,2008,1543.824335,N,1.6985138,-1.353315598
1.02E+11,2008,909.7264438,N,1.6985138,-0.685280534
1.02E+11,2008,585.3843885,N,1.6985138,1.652842189
6726667267,2011,2687.669428,N,1.6985138,-0.685280534
6705367054,2011,2012.594342,N,1.840056617,1.318824657
4679048426,2008,405.1041667,N,2.123142251,0.316772061
6725567256,2011,2145.228657,N,2.123142251,0.650789593
6725567256,2011,2872.634289,N,2.123142251,-1.353315598
4911849119,2010,565.7605552,Y,,0.321899923
6068760688,2010,2155.504923,Y,,0.321899923
6068760688,2010,4984.480758,Y,,-0.348213268
6166965592,2010,1096.781492,Y,,-0.683269864
6409864099,2010,1121.673275,Y,,1.662126306
4640361810,2010,1956.852699,Y,,-0.683269864
6603266033,2010,1984.316443,Y,,-1.353383055
