76	58	2	1
ACA_AAC_1.0
ACA_AAC_2.0
ACA_AAC_3.0
ACA_AAC_4.0
ACA_AAC_5.0
ACA_AAC_6.0
ACA_AAC_7.0
ACA_AAC_8.0
ACA_AAC_9.0
ACA_AAC_10.0
ACA_AAC_11.0
ACA_AAC_12.0
ACA_AAC_13.0
ACA_AAC_14.0
ACA_AAC_15.0
ACA_AAC_16.0
ACA_AAC_17.0
ACA_AAC_19.0
ACA_AAC_20.0
ACA_AAC_21.0
ACA_ACG_1.0
ACA_ACG_2.0
ACA_ACG_3.0
ACA_ACG_4.0
ACA_ACG_5.0
ACA_ACG_6.0
ACA_ACG_7.0
ACA_ACG_8.0
ACA_ACG_9.0
ACA_ACG_10.0
ACA_ACG_11.0
ACA_ACG_12.0
ACA_ACG_13.0
ACA_ACG_14.0
ACA_ACG_15.0
ACA_ACG_16.0
ACA_ACG_17.0
ACA_ACG_17.1
ACA_ACG_18.0
ACA_ACG_20.0
ACA_ACG_21.0
ACA_ACG_23.0
ACA_AGC_1.0
ACA_AGC_2.0
ACA_AGC_3.0
ACA_AGC_4.0
ACA_AGC_5.0
ACA_AGC_6.0
ACA_AGC_7.0
ACA_AGC_8.0
ACA_AGC_9.0
ACA_AGC_10.0
ACA_AGC_11.0
ACA_AGC_12.0
ACA_AGC_13.0
ACA_AGC_14.0
ACA_AGC_15.0
ACA_AGC_16.0
7	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	1	1
7	2	2	2	2	1	1	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	1	2	2	2	1
7	2	1	2	2	2	2	1	1	2	1	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	2	1	2	1	1	1
8	2	2	2	2	1	2	1	1	2	1	1	1	2	1	2	1	1	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1	1	2	2	2	1
8	1	2	2	2	1	1	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	2	1
8	2	1	2	2	1	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	1	2	1	2	2	2	1
9	2	1	2	2	1	2	1	1	2	1	2	1	2	1	1	2	1	2	2	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	2	2	2	1	2	2	1	1	1	1	1	2	2	1	1
9	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	2	2	1	2	2	2	1	1	1	1	1	2	2	1	1
9	2	1	2	2	2	1	1	1	2	2	1	2	2	1	2	1	1	2	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	1	2	1	2	1	2	2	2	2	2	1	1	2	1	2	1	1	1	1	2	1	1	1
10	2	1	1	2	1	1	2	1	2	2	2	1	2	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	2	1	2	1
10	2	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	1	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	2	2	2	2	1	2	1	1	1	1	2	1	2	2	1	1
10	2	1	1	2	1	2	2	2	2	2	1	1	2	1	1	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1
11	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	0	2	1	1	1	2	1	2	2	1	1
11	1	2	2	2	1	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	1	1	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	1	1	1	2	2	2	2	1
11	1	1	2	2	1	0	2	2	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	0	1	2	2	2	2	1	2	2	2	2	1	1	1	2	1	2	2	1	1
12	1	1	2	2	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	2	1	2	2	1	1	2	2	2	1	1	1
12	2	1	2	1	1	1	1	1	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	1	1	1	2	1	2	1	2	1
12	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	2	1	2	1	1	1	2	1	1	2	2	1	2	2	2	1	2	2	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1
13	2	1	2	2	1	2	1	1	2	1	1	1	2	2	2	1	2	2	2	2	1	1	2	1	2	1	2	1	1	2	2	1	1	2	2	1	2	1	1	2	1	2	2	2	2	1	1	2	2	2	1	1	1	2	2	1	1	1
13	1	1	2	2	1	2	2	1	2	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1
13	1	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	2	2	2	2	1	1
14	1	1	2	2	1	1	1	1	2	2	1	1	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	1	1	1	1	1	1	2	1	2	1
14	1	1	2	2	2	2	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	2	1	2	1	2	2	1	1	2	1	1	2	1	2	1	2	1
15	2	2	2	2	1	2	1	2	2	1	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	2	2	0	2	1	1	1	2	2	1	1	2	1	1	2	2	2	1
15	2	1	2	2	1	1	1	2	2	1	2	1	2	1	2	2	1	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	2	1	1	1	1	2	2	2	2	1	1
15	2	1	2	2	1	2	1	2	2	1	2	1	2	1	1	2	2	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	1	2	2	2	1	2	1	1	1	2	2	1	2	1
16	2	1	2	2	1	2	1	1	2	2	2	2	2	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2	1	2	2	1	1	1	1	2	1	2	1	2	1	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2	1	2	2	1	1	1	1	2	1	2	2	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1
17	2	1	2	2	2	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	2	2	2	1	2	1	1	2	1	1	2	1	1	1
17	2	1	2	2	1	1	2	1	2	1	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2	2	2	1
18	2	1	2	2	1	2	1	2	2	2	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1
18	2	2	2	2	1	1	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	1	1	1	2	1	1	1
19	1	1	2	2	2	2	1	1	2	1	2	2	2	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1
19	1	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1
19	1	1	2	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	2	1	1	1	1	1	1	2	2	1	2	1
20	2	1	2	2	1	2	2	2	2	1	2	1	2	1	1	1	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	1	1	1	1	2	2	1	1
20	2	1	2	2	2	2	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1
20	2	1	1	2	1	2	1	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1
21	2	1	2	1	1	1	1	1	2	2	2	1	2	1	2	1	1	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	2	2	0	1	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	1	1	1
21	2	1	2	1	1	2	1	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	2	2	1
21	2	1	2	2	1	2	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1
22	2	2	2	2	1	2	1	2	2	1	2	1	2	1	2	2	1	2	2	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	2	2	0	2	1
22	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1
22	2	1	1	2	1	1	1	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	2	1	2	1	1	1
23	2	1	2	2	1	1	2	2	2	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1
23	2	1	2	2	1	2	2	1	2	1	1	1	2	1	2	2	2	2	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1
23	2	2	2	2	1	2	2	1	2	2	1	1	2	1	1	2	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1
24	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	1	2	2	2	1	1	1	2	2	1	2	1	2	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	2	1	1	2	1	1	2	2	1	1
25	1	1	2	2	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	1	2	1	1	2	1	1	2	1	2	2	2	1	1	1	2	2	1	1	2	1	1	2	1	2	1
25	1	1	2	2	2	1	1	1	2	1	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	1	2	1	1	2	1	2	2	2	1	2	1	1	1
26	1	1	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	2	2	1	2	1	1	2	2	1	2	1	2	1	1	2	1	1	1
26	2	1	2	2	1	2	2	1	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	1	2	1	1	1	1	2	1	1	2	1	1	2	2	1	1
26	2	1	2	2	2	1	0	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	2	1	2	2	1	2	1	1	2	1	2	1
27	2	1	2	2	2	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	2	1	1	2	1	1	2	2	2	2	1	2	1
27	2	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	2	1	1	2	2	2	1
27	2	1	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	2	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	1	2	1	1	2	2	1	1
28	1	1	2	2	1	1	1	1	2	1	2	1	2	2	2	1	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	1	2	1	2	1	1	1	2	1	1	2	1	1	1
28	2	1	2	2	1	1	1	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	2	1	1	1	2	2	1
28	2	2	2	2	1	1	1	1	2	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	2	1	2	1
29	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	1	2	1	1	2	1	2	1	1	1	2	1	2	1
29	2	1	2	2	1	2	1	2	2	1	2	2	2	1	1	2	1	2	2	1	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1
29	1	1	2	2	1	2	1	1	2	1	2	1	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	2	2	1	2	1
30	2	1	2	2	1	1	1	2	2	1	1	1	2	1	2	2	1	2	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1	2	1
30	2	1	2	2	1	2	2	2	2	1	2	1	2	1	1	2	1	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	1	2	1	2	1	2	2	1	1	2	1	1	2	1	2	1
30	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31	2	1	1	2	2	1	1	2	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	1	1	2	1	1	1
31	2	2	1	2	2	1	1	1	2	2	1	1	2	1	1	1	2	2	2	2	2	1	1	1	2	1	2	1	2	1	2	1	1	1	1	1	2	2	2	1	2	2	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1
32	2	1	2	2	1	2	1	1	2	2	1	2	2	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2	1	2	2	1	1	2	1	2	1	1	1	2	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2	2	2	2	2	1	1	1	2	1	2	1	2	1	1	1	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2	2	2	2	1	2	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	2	2	2	2	2	1	2	1	2	1	2	1	1	1	1	1	2	2	1	1	1
34	1	1	1	0	2	1	1	1	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	2	1	1	1
34	2	1	2	2	1	2	1	1	2	1	2	1	2	1	2	1	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1
35	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	2	2	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	2	1	2	1	2	2	2	2	2	2	2	1	1	1	1	2	1	1	2	2	2	2	2	1
35	2	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	1
36	2	1	2	2	1	1	1	1	2	2	1	1	2	1	1	0	2	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1	2	1	1	1
36	2	1	2	2	1	1	2	2	2	2	1	1	2	1	2	1	1	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1
37	2	1	2	2	1	0	1	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1
37	2	1	2	1	1	1	1	1	2	1	1	1	2	1	2	2	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	2	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1
37	2	1	2	2	1	2	1	1	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	1	2	1	2	1	2	2	1	2	2	1	1	1	2	2	1	1	1
38	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
