Fish_ID,Schisto_exposure,Schisto_pop,Schisto_fam,Cage,Died_in_cage,Schisto_infection,Plerocercoid_weight_mg,Treatment,Date_Schisto_exposure,Date_in_lake,Date_dissected,Age_at_dissection,Fish_sex,Initial_total_length_mm,Initial_std_length_mm,Initial_weight_g,Final_total_length_mm,Final_std_length_mm,Final_weight_g,Final_weight_no_Schisto,HK_weight_mg,Spleen_weight_mg,Liver_weight_mg,Gonad_weight_mg,Irregular_Apatemon_Cysts,Tr,Af,Er,Gy,Gl,Ac,Cp,Dg,Dp,Ec,Ph,Sg,Tc,Ju,An,Cl,Co,Ra,Ps,Pf,Vc
36,0,,,1,0,0,,Control,12.05.09,20.05.09,10.08.09,90,F,47,42,0.7934,54,47,1.0225,1.0225,2.5,1.1,20.5,13,,1,0,0,0,1,54,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0
37,0,,,1,1,,,,12.05.09,20.05.09,,,,45,40,0.6691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,,,1,1,,,,12.05.09,20.05.09,,,,43,38,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,,,1,1,,,,12.05.09,20.05.09,,,,39,35,0.4608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,,,1,1,,,,12.05.09,20.05.09,,,,39,34,0.4971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,LG,LG-B,1,0,1,189.1,Infected LG,13.05.09,20.05.09,10.08.09,89,M,44,39,0.7122,51,45,1.2778,1.0887,2,1,20.8,3.7,,1,1,0,0,0,60,2,0,1,5,0,0,0,0,0,0,0,0,0,2,0
42,1,LG,LG-B,1,1,,,,13.05.09,20.05.09,,,,40,35,0.5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,LG,LG-B,1,0,0,,Uninfected,13.05.09,20.05.09,10.08.09,89,M,43,38,0.6206,49,43,0.8047,0.8047,1.7,1.2,8.9,3.2,,1,1,0,0,0,112,2,5,1,2,0,0,0,31,0,0,0,0,0,1,0
44,1,LG,LG-B,1,1,,,,13.05.09,20.05.09,,,,45,40,0.7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,LG,LG-B,1,1,,,,13.05.09,20.05.09,,,,44,39,0.7189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,HG,HG-A,1,0,1,304.2,Infected HG,12.05.09,20.05.09,10.08.09,90,M,40,36,0.5297,50,45,1.289,0.9848,4.9,2.9,32.7,3.7,,1,0,0,0,0,26,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0
47,1,HG,HG-A,1,1,,,,12.05.09,20.05.09,,,,44,40,0.7503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,HG,HG-A,1,1,,,,12.05.09,20.05.09,,,,44,39,0.7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,HG,HG-A,1,1,,,,12.05.09,20.05.09,,,,43,38,0.6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,HG,HG-A,1,1,,,,12.05.09,20.05.09,,,,44,39,0.6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,42,37,0.6542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1,LG,LG-A,2,0,1,145.9,Infected LG,12.05.09,20.05.09,10.08.09,90,M,43,38,0.6763,47,42,0.972,0.8261,1.4,0.8,11.3,2.1,,1,1,0,0,0,73,1,0,1,2,0,0,0,3,0,0,0,0,0,3,0
53,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,48,43,1.0211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,43,38,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1,LG,LG-A,2,1,,,,12.05.09,20.05.09,,,,43,37,0.6763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1,HG,HG-B,2,1,,,,13.05.09,20.05.09,,,,44,38,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1,HG,HG-B,2,1,0,,,13.05.09,20.05.09,10.08.09,89,,47,42,0.9898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1,HG,HG-B,2,0,0,,Uninfected,13.05.09,20.05.09,10.08.09,89,M,47,43,1.0216,53,47,1.1538,1.1538,1.5,3,18.5,5.2,,0,1,0,0,0,78,6,0,0,2,0,2,0,0,0,0,0,0,0,1,0
