chick_id	brood_id	brood_composition	sex	rank_in_nest	playback_treatment	nest_temperature_above_ambient	max_daily_temp_hatch_day	mean_max_temp_hatch_to_day2	mean_max_temp_hatch_to_day10	mean_max_temp_hatch_to_day13	hatching_mass	day1_mass	day2_mass	day10_mass	day13_mass	day13_tarsus
38	N2.1LB2	N2.1m2	same	F	2	treat	5.309583333	26.9	26.63333333	23.72	23.88571429	0.5	0.90000000000000002	NA	7.7000000000000002	9.2	14.29
39	N2.1RB2	N2.1m2	same	M	1	treat	5.309583333	25	25.93333333	24.53	24.53571429	0.5	0.80000000000000004	NA	NA	10.2	14.13
40	N2.3LF2	N2.3m2	mixed	M	3	treat	3.421666667	25.9	27.36666667	24.13	24.26428571	0.7	0.59999999999999998	1.1000000000000001	7.5999999999999996	9.6	13.21
41	N2.3RF2	N2.3m2	mixed	F	1	cont	3.421666667	22	23.9	25.18	23.91428571	0.6	0.59999999999999998	NA	NA	10.9	13.01
42	N2.4LB2	N2.4m2	same	M	4	cont	5.124166667	32.3	24.7	23.35	24.64285714	0.7	0.90000000000000002	NA	NA	10.3	13.47
43	N2.4RB2	N2.4m2	same	F	1	cont	5.124166667	20.3	21.03333333	22.45	22.83571429	0.7	0.69999999999999996	NA	NA	8.4	12.49
44	N2.4RF2	N2.4m2	same	F	3	cont	5.124166667	23.1	25.53333333	23.68	23.99285714	0.7	0.90000000000000002	1.2	8.0999999999999996	10.1	13.64
45	N2.5allF2	N2.5m2	same	M	4	cont	4.534583333	23.3	24.76666667	23.39	22.76428571	0.8	0.69999999999999996	NA	4.7999999999999998	7	11.98
46	N2.5noCut2	N2.5m2	same	F	3	cont	4.534583333	23.3	24.76666667	23.39	22.76428571	0.7	0.90000000000000002	NA	7.7000000000000002	9.9	14.1
47	N2.5RB2	N2.5m2	same	M	1	cont	4.534583333	26.9	26.63333333	23.72	23.88571429	0.7	1	NA	NA	11.2	14.55
48	N2.5RF2	N2.5m2	same	M	1	cont	4.534583333	26.9	26.63333333	23.72	23.88571429	0.7	1	NA	NA	10.7	14.12
49	N2.6LB3	N2.6m3	same	M	5	cont	4.153333333	20.2	22.4	23.92	22.72857143	0.7	0.90000000000000002	1.3	8.5	9.6	14.29
50	N2.6LF3	N2.6m3	same	M	1	cont	4.153333333	32.8	33	26.55	25.4	0.6	0.80000000000000004	NA	8.4000000000000004	9.1	13.75
51	N2.6noCut3	N2.6m3	same	F	3	cont	4.153333333	34	25.36666667	25.22	23.55	0.6	0.59999999999999998	0.80000000000000004	6.7000000000000002	7.9	12.68
52	N2.6RB3	N2.6m3	same	F	4	cont	4.153333333	34	25.36666667	25.22	23.55	0.7	0.80000000000000004	0.90000000000000002	8.5	9.7	14.05
53	N2.6RF3	N2.6m3	same	F	2	cont	4.153333333	32.8	33	26.55	25.4	0.7	0.80000000000000004	NA	NA	9.9	14.06
54	N2.7LF2	N2.7m2	same	M	1	treat	3.672083333	19.9	20.4	22.28	22.84285714	0.7	0.69999999999999996	NA	NA	7.2	11.47
55	N2.8LB3	N2.8m3	mixed	M	3	cont	4.640833333	20.1	22.66666667	24.82	23.6	0.6	0.90000000000000002	1.5	NA	6.9	12.82
56	N2.8LF3	N2.8m3	mixed	M	1	treat	4.640833333	19	20.53333333	24.53	23.41428571	0.7	0.90000000000000002	1.8	NA	9.3	13.99
57	N2.8RF3	N2.8m3	mixed	F	1	cont	4.640833333	19	20.53333333	24.53	23.41428571	0.6	NA	1	NA	8.7	14.35
58	N2.9LF3	N2.9m3	same	F	1	cont	3.809583333	32.3	24.7	23.35	24.64285714	0.7	0.69999999999999996	0.80000000000000004	NA	10.7	14.28
59	N2.9RB3	N2.9m3	same	F	2	cont	3.809583333	21.2	20.76666667	22.38	24.76428571	0.7	0.80000000000000004	NA	NA	10.7	14.8
60	N3.1LF2	N3.1m2	same	M	3	cont	4.601666667	20.3	21.03333333	22.45	22.83571429	0.7	1.1000000000000001	NA	NA	10.1	14.7
61	N3.1noCut2	N3.1m2	same	F	4	cont	4.601666667	20.3	21.03333333	22.45	22.83571429	0.6	0.59999999999999998	NA	NA	9.8	13.58
62	N3.1RB2	N3.1m2	same	M	1	cont	4.601666667	19.9	20.4	22.28	22.84285714	0.7	1.1000000000000001	1.5	NA	11.1	14.09
63	N3.1RF2	N3.1m2	same	F	1	cont	4.601666667	19.9	20.4	22.28	22.84285714	0.7	0.59999999999999998	1	NA	9	14.36
64	N3.2LB3	N3.2m3	mixed	M	5	treat	4.06	29	24.63333333	22.85	22.91428571	0.6	0.90000000000000002	1.2	8.0999999999999996	8.9	14.52
65	N3.2LF3	N3.2m3	mixed	M	2	cont	4.06	21.9	25.33333333	23.64	23.1	0.7	0.69999999999999996	1	7.5999999999999996	10	13.7
66	N3.2noCut3	N3.2m3	mixed	F	4	treat	4.06	25.1	24.8	23.35	23.24285714	0.7	0.59999999999999998	1	6.7000000000000002	9.3	13.27
67	N3.2RB3	N3.2m3	mixed	M	3	treat	4.06	25.1	24.8	23.35	23.24285714	0.8	1.2	1.6000000000000001	NA	8.7	14.56
